Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Risk,Resilience,Growth Potential,Financial Health,Competitive Positioning
"Dominion Energy, Inc.",43.13999938964844,49.86000061035156,56.43000030517578,70.7300033569336,70.83000183105469,77.86000061035156,77.91999816894531,71.5999984741211,82.37999725341797,79.05000305175781,77.43000030517578,2.609252861446096,2.6246508019808967,3.7547607871555266,4.814840214049518,2.840939697980922
"Dominion Energy, Inc.",52.5,54.310001373291016,70.5999984741211,72.75,70.94000244140625,76.62999725341797,71.75,77.01000213623047,80.80999755859375,74.04000091552734,61.77999877929688,4.413426951625328,3.45679384105245,4.444409601942691,3.5371615659854116,2.8906794836865615
"Dominion Energy, Inc.",52.91999816894531,66.93000030517578,69.9800033569336,72.81999969482422,80.97000122070312,68.44999694824219,74.66999816894531,79.63999938964844,73.0999984741211,59.540000915527344,47.04999923706055,4.519080958556323,2.758098391713731,3.3303871839166455,2.768236406857158,4.384047784630325
"NextEra Energy, Inc.",13.1875,15.072500228881836,18.530000686645508,24.170000076293945,25.207500457763672,32.432498931884766,36.772499084472656,43.03749847412109,57.772499084472656,74.56999969482422,91.31999969482422,3.7751091800225285,2.942224197882637,3.752494200734705,2.5790044968859673,2.584932849453214
"NextEra Energy, Inc.",14.737500190734863,18.0625,23.70249938964844,26.125,29.77499961853028,35.032501220703125,42.75249862670898,54.52999877929688,74.61499786376953,87.36000061035156,84.0,4.51254960671152,4.994410609347549,3.0591619589477013,2.988195942426247,3.0796567084969064
"NextEra Energy, Inc.",17.6299991607666,22.65250015258789,25.74250030517578,29.52499961853028,35.17499923706055,42.25249862670898,52.01250076293945,70.59249877929688,81.66999816894531,83.5999984741211,60.209999084472656,4.007361133752658,3.3356816925257293,2.5197731630737072,2.837238014833267,4.791411189675431
Xcel Energy Inc.,23.65999984741211,26.56999969482422,28.89999961853028,31.299999237060547,34.099998474121094,44.77999877929688,48.20000076293945,48.720001220703125,63.66999816894531,68.36000061035156,66.81999969482422,3.056182350137992,3.594109362654159,4.241833137112822,3.810091626990636,3.425628056517425
Xcel Energy Inc.,27.34000015258789,27.76000022888184,30.729999542236328,34.77000045776367,40.369998931884766,45.880001068115234,47.27999877929688,62.9900016784668,72.19999694824219,66.30999755859375,71.56999969482422,3.5192000207771765,3.3782990082888857,3.0843728274667566,4.191980216602895,3.506095867795805
Xcel Energy Inc.,27.3799991607666,28.6299991607666,34.220001220703125,41.15999984741211,47.2599983215332,46.22999954223633,59.630001068115234,70.58999633789062,65.93000030517578,68.68000030517578,62.25,3.2890561013883657,4.762843670743729,4.927312355266148,4.097577439524864,4.480063404490721
The AES Corporation,12.600000381469728,12.979999542236328,12.390000343322754,14.140000343322754,13.4399995803833,12.329999923706056,11.100000381469728,13.079999923706056,16.239999771118164,20.459999084472656,23.670000076293945,4.645641130783082,3.4501577677025335,4.190293535653197,3.1811422209803495,3.001443639856937
The AES Corporation,12.119999885559082,11.109999656677246,13.90999984741211,13.239999771118164,10.970000267028809,11.109999656677246,13.81999969482422,15.18000030517578,19.86000061035156,24.940000534057617,28.81999969482422,4.215017126313638,3.231724681998414,3.06578784812142,3.8860966274373885,3.359492213019357
The AES Corporation,11.0,14.0600004196167,12.010000228881836,11.5,11.779999732971191,13.140000343322754,16.31999969482422,17.540000915527344,24.40999984741211,28.06999969482422,19.36000061035156,3.807803501265493,4.311039720040807,3.8865841478407637,2.922349339163399,4.733111413483381
Public Service Enterprise Group Incorporated,31.57999992370605,30.3799991607666,33.119998931884766,39.43000030517578,43.25,46.5,45.68999862670898,52.7599983215332,62.04999923706055,58.41999816894531,65.05999755859375,2.698041242455162,4.670541263913222,4.328923828739824,4.177318819598667,3.462436444887498
